,precision,recall,f1-score,support
alarm_query,0.9047619047619048,1.0,0.9500000000000001,19.0
alarm_remove,0.9166666666666666,1.0,0.9565217391304348,11.0
alarm_set,1.0,0.8421052631578947,0.9142857142857143,19.0
audio_volume_down,1.0,0.75,0.8571428571428571,8.0
audio_volume_mute,0.875,0.9333333333333333,0.9032258064516129,15.0
audio_volume_up,0.8666666666666667,1.0,0.9285714285714286,13.0
calendar_query,0.85,0.8947368421052632,0.8717948717948718,19.0
calendar_remove,0.9,0.9473684210526315,0.9230769230769231,19.0
calendar_set,0.9375,0.7894736842105263,0.8571428571428572,19.0
cooking_recipe,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
datetime_convert,1.0,0.625,0.7692307692307693,8.0
datetime_query,0.8260869565217391,1.0,0.9047619047619047,19.0
email_addcontact,1.0,1.0,1.0,8.0
email_query,0.8636363636363636,1.0,0.9268292682926829,19.0
email_querycontact,1.0,0.8421052631578947,0.9142857142857143,19.0
email_sendemail,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
general_affirm,0.95,1.0,0.9743589743589743,19.0
general_commandstop,1.0,1.0,1.0,19.0
general_confirm,1.0,0.9473684210526315,0.972972972972973,19.0
general_dontcare,1.0,1.0,1.0,19.0
general_explain,1.0,1.0,1.0,19.0
general_joke,1.0,0.9166666666666666,0.9565217391304348,12.0
general_negate,1.0,1.0,1.0,19.0
general_praise,1.0,1.0,1.0,19.0
general_quirky,0.8125,0.6842105263157895,0.742857142857143,19.0
general_repeat,1.0,1.0,1.0,19.0
iot_cleaning,1.0,0.8125,0.896551724137931,16.0
iot_coffee,1.0,1.0,1.0,19.0
iot_hue_lightchange,0.8636363636363636,1.0,0.9268292682926829,19.0
iot_hue_lightdim,0.8,1.0,0.888888888888889,12.0
iot_hue_lightoff,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
iot_hue_lighton,0.0,0.0,0.0,3.0
iot_hue_lightup,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0
iot_wemo_off,1.0,0.7777777777777778,0.8750000000000001,9.0
iot_wemo_on,0.7777777777777778,1.0,0.8750000000000001,7.0
lists_createoradd,1.0,0.9473684210526315,0.972972972972973,19.0
lists_query,0.95,1.0,0.9743589743589743,19.0
lists_remove,0.8571428571428571,0.9473684210526315,0.9,19.0
music_likeness,0.9375,0.8333333333333334,0.8823529411764706,18.0
music_query,1.0,0.9473684210526315,0.972972972972973,19.0
music_settings,0.8,0.5714285714285714,0.6666666666666666,7.0
news_query,0.9,0.9473684210526315,0.9230769230769231,19.0
play_audiobook,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
play_game,1.0,0.9473684210526315,0.972972972972973,19.0
play_music,0.7727272727272727,0.8947368421052632,0.8292682926829269,19.0
play_podcasts,0.95,1.0,0.9743589743589743,19.0
play_radio,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
qa_currency,0.9,0.9473684210526315,0.9230769230769231,19.0
qa_definition,1.0,0.9473684210526315,0.972972972972973,19.0
qa_factoid,0.75,0.7894736842105263,0.7692307692307692,19.0
qa_maths,1.0,1.0,1.0,14.0
qa_stock,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
recommendation_events,0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0
recommendation_locations,0.8,0.8421052631578947,0.8205128205128205,19.0
recommendation_movies,0.8888888888888888,0.8,0.8421052631578948,10.0
social_post,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
social_query,0.85,0.9444444444444444,0.8947368421052632,18.0
takeaway_order,1.0,0.8421052631578947,0.9142857142857143,19.0
takeaway_query,0.95,1.0,0.9743589743589743,19.0
transport_query,0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0
transport_taxi,1.0,1.0,1.0,18.0
transport_ticket,0.95,1.0,0.9743589743589743,19.0
transport_traffic,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
weather_query,0.9047619047619048,1.0,0.9500000000000001,19.0
accuracy,0.9247211895910781,0.9247211895910781,0.9247211895910781,0.9247211895910781
macro avg,0.9127165385724274,0.9051076584690894,0.9054851298047791,1076.0
weighted avg,0.9258582062748056,0.9247211895910781,0.9227174918552574,1076.0
